Rk,Name,Age,Tm,Lev,Aff,W,L,W-L%,ERA,RA9,G,GS,GF,CG,SHO,SV,IP▼,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,WHIP,H9,HR9,BB9,SO9,SO/W
1,Shoki Murakami,27,HAN,Fgn,,14,4,0.778,2.1,2.1,26,,,3,3,0,175.1,131,41,41,9,25,4,144,7,1,3,679,0.89,6.7,0.5,1.3,7.4,5.76
2,Hiroto Takahashi,22,CNI,Fgn,,8,10,0.444,2.83,2.99,26,,,3,2,0,171.2,145,57,54,11,50,2,138,5,0,9,690,1.136,7.6,0.6,2.6,7.2,2.76
3,Hiroki Tokoda*,30,HIR,Fgn,,9,12,0.429,3.15,3.36,26,,,6,3,0,171.1,158,64,60,13,42,3,102,1,0,5,705,1.167,8.3,0.7,2.2,5.4,2.43
4,Katsuki Azuma*,29,YKO,Fgn,,14,8,0.636,2.19,2.81,24,,,2,0,0,160.1,142,50,39,15,26,0,123,5,0,0,648,1.048,8,0.8,1.5,6.9,4.73
5,Hiroto Saiki,26,HAN,Fgn,,12,6,0.667,1.55,1.66,24,,,3,2,0,157,123,29,27,6,44,3,122,1,0,1,636,1.064,7.1,0.3,2.5,7,2.77
6,Iori Yamasaki,26,YOM,Fgn,,11,4,0.733,2.07,2.3,25,,,1,0,0,156.1,124,40,36,9,36,6,131,6,0,4,625,1.023,7.1,0.5,2.1,7.5,3.64
7,Anthony Kay*,30,YKO,Fgn,,9,6,0.6,1.74,1.8,24,,,1,1,0,155,111,31,30,8,41,2,130,3,0,1,604,0.981,6.4,0.5,2.4,7.5,3.17
8,Masato Morishita,27,HIR,Fgn,,6,14,0.3,2.48,3.13,22,,,3,0,0,152.1,140,53,42,6,37,3,92,5,0,1,622,1.162,8.3,0.4,2.2,5.4,2.49
9,Andre Jackson,29,YKO,Fgn,,10,7,0.588,2.33,2.75,25,,,0,0,0,150.2,134,46,39,9,55,4,109,9,0,7,636,1.254,8,0.5,3.3,6.5,1.98
10,Takahiro Matsuba*,34,CNI,Fgn,,7,11,0.389,2.72,2.78,23,,,1,0,0,145.2,136,45,44,9,37,1,61,7,0,1,595,1.188,8.4,0.6,2.3,3.8,1.65
11,Daichi Ohsera,34,HIR,Fgn,,7,9,0.438,3.48,3.81,23,,,0,0,0,134.2,131,57,52,11,38,5,88,2,0,4,571,1.255,8.8,0.7,2.5,5.9,2.32
12,Trevor Bauer,34,YKO,Fgn,,4,10,0.286,4.51,4.51,21,,,2,1,0,133.2,135,67,67,15,48,5,119,4,0,2,570,1.369,9.1,1,3.2,8,2.48
13,Shohei Mori*,27,HIR,Fgn,,7,8,0.467,3.55,3.68,23,,,1,1,0,132,129,54,52,14,32,1,101,4,0,2,554,1.22,8.8,1,2.2,6.9,3.16
14,Kojiro Yoshimura,27,YKU,Fgn,,8,6,0.571,3.05,3.53,22,,,0,0,0,130,132,51,44,14,27,1,85,2,0,1,546,1.223,9.1,1,1.9,5.9,3.15
15,Yuji Akahoshi,25,YOM,Fgn,,6,9,0.4,2.68,3.12,22,,,1,1,0,121,110,42,36,12,19,3,88,5,0,0,488,1.066,8.2,0.9,1.4,6.5,4.63
16,Yudai Ohno*,36,CNI,Fgn,,11,4,0.733,2.1,2.55,20,,,1,0,0,120,95,34,28,6,26,0,72,4,0,0,477,1.008,7.1,0.5,2,5.4,2.77
17,Peter Lambert,28,YKU,Fgn,,3,11,0.214,4.26,4.41,21,,,0,0,0,116.1,123,57,55,11,52,1,104,3,0,5,508,1.504,9.5,0.9,4,8,2
18,Shosei Togo,25,YOM,Fgn,,8,9,0.471,4.14,4.7,21,,,0,0,0,111,124,58,51,8,46,1,87,2,0,2,497,1.532,10.1,0.6,3.7,7.1,1.89
19,Takato Ihara*,24,HAN,Fgn,,5,7,0.417,2.29,2.95,28,,,0,0,0,110,95,36,28,4,25,2,81,2,1,1,448,1.091,7.8,0.3,2,6.6,3.24
20,Haruto Inoue*,24,YOM,Fgn,,4,8,0.333,3.7,4.04,20,,,0,0,0,107,115,48,44,15,19,1,100,2,0,0,453,1.252,9.7,1.3,1.6,8.4,5.26
21,Kyle Muller*,27,CNI,Fgn,,4,9,0.308,3.54,3.9,18,,,0,0,0,101.2,102,44,40,7,28,1,86,3,0,5,436,1.279,9,0.6,2.5,7.6,3.07
