Rk,Name,Age,Tm,Lev,Aff,W,L,W-L%,ERA,RA9,G,GS,GF,CG,SHO,SV,IP▼,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,WHIP,H9,HR9,BB9,SO9,SO/W
1,Hiromi Itoh,27,NPN,Fgn,,14,8,0.636,2.52,2.75,27,,,6,1,0,196.2,179,60,55,15,29,3,195,8,0,4,797,1.058,8.2,0.7,1.3,8.9,6.72
2,Kohei Arihara,32,FKA,Fgn,,14,9,0.609,3.03,3.45,26,,,1,1,0,175,167,67,59,10,41,1,121,6,0,2,724,1.189,8.6,0.5,2.1,6.2,2.95
3,Liván Moinelo*,29,FKA,Fgn,,12,3,0.8,1.46,1.56,24,,,3,2,0,167,112,29,27,10,42,0,172,3,0,1,639,0.922,6,0.5,2.3,9.3,4.1
4,Aren Kuri,33,ORX,Fgn,,11,8,0.579,2.41,2.68,25,,,2,1,0,164.1,155,49,44,7,48,0,114,6,2,1,678,1.235,8.5,0.4,2.6,6.2,2.38
5,Tatsuya Imai,27,SEI,Fgn,,10,5,0.667,1.92,2.09,24,,,5,3,0,163.2,101,38,35,6,45,0,178,10,0,3,641,0.892,5.6,0.3,2.5,9.8,3.96
6,Atsuki Taneichi,26,LOT,Fgn,,9,8,0.529,2.63,3.08,24,,,2,0,0,160.2,134,55,47,13,50,0,161,6,0,9,666,1.145,7.5,0.7,2.8,9,3.22
7,Chihiro Sumida*,25,SEI,Fgn,,10,10,0.5,2.59,2.65,23,,,3,1,0,159.2,142,47,46,12,34,2,149,2,0,3,646,1.102,8,0.7,1.9,8.4,4.38
8,Hiroya Miyagi*,23,ORX,Fgn,,7,3,0.7,2.39,2.45,23,,,0,0,0,150.1,135,41,40,6,30,0,165,6,0,3,615,1.098,8.1,0.4,1.8,9.9,5.5
9,Koki Kitayama,26,NPN,Fgn,,9,5,0.643,1.63,2.23,22,,,4,0,0,149,112,37,27,7,45,0,143,4,0,2,599,1.054,6.8,0.4,2.7,8.6,3.18
10,Kona Takahashi,28,SEI,Fgn,,8,9,0.471,3.04,3.41,24,,,0,0,0,148,141,56,50,10,41,0,88,6,1,7,616,1.23,8.6,0.6,2.5,5.4,2.15
11,Tomohisa Ohzeki*,27,FKA,Fgn,,13,5,0.722,1.66,2.21,24,,,0,0,0,146.2,107,36,27,11,35,1,97,5,0,0,586,0.968,6.6,0.7,2.1,6,2.77
12,Kazuya Ojima*,28,LOT,Fgn,,8,10,0.444,3.72,4.16,24,,,0,0,0,145,144,67,60,20,54,0,92,3,0,3,619,1.366,8.9,1.2,3.4,5.7,1.7
13,Naoyuki Uwasawa,31,FKA,Fgn,,12,6,0.667,2.74,3.24,23,,,1,0,0,144.2,113,52,44,12,36,1,115,5,0,0,577,1.03,7,0.7,2.2,7.2,3.19
14,Yutaro Watanabe,24,SEI,Fgn,,7,9,0.438,2.69,3.16,23,,,1,1,0,134,127,47,40,9,38,0,81,4,0,3,565,1.231,8.5,0.6,2.6,5.4,2.13
15,Anderson Espinoza,27,ORX,Fgn,,5,8,0.385,2.98,3.33,23,,,1,0,0,129.2,131,48,43,3,47,0,119,5,0,5,566,1.373,9.1,0.2,3.3,8.3,2.53
16,Austin Voth,33,LOT,Fgn,,3,9,0.25,3.96,4.1,22,,,0,0,0,125,129,57,55,8,28,0,92,7,0,5,530,1.256,9.3,0.6,2,6.6,3.29
17,Takayuki Katoh*,33,NPN,Fgn,,9,6,0.6,3.4,3.55,20,,,3,0,0,119,125,47,45,15,13,2,56,2,0,0,486,1.16,9.5,1.1,1,4.2,4.31
18,Ryuhei Sotani*,24,ORX,Fgn,,8,8,0.5,4.01,4.33,21,,,1,0,0,114.1,125,55,51,7,25,1,102,8,0,3,486,1.312,9.8,0.6,2,8,4.08
19,Sachiya Yamasaki*,32,NPN,Fgn,,7,5,0.583,2.27,2.92,20,,,2,1,0,111,105,36,28,11,18,1,51,1,0,2,450,1.108,8.5,0.9,1.5,4.1,2.83
20,Masaru Fujii*,28,TOH,Fgn,,6,7,0.462,3.2,3.78,22,,,0,0,0,109.2,121,46,39,9,43,0,58,6,0,0,483,1.495,9.9,0.7,3.5,4.8,1.35
21,Takayuki Kishi,40,TOH,Fgn,,6,6,0.5,4.38,4.46,19,,,1,0,0,109,125,54,53,10,22,0,55,4,0,0,467,1.349,10.3,0.8,1.8,4.5,2.5
22,Kota Tatsu,21,NPN,Fgn,,8,2,0.8,2.09,2.26,16,,,3,1,0,107.2,80,27,25,7,20,0,94,1,1,1,418,0.929,6.7,0.6,1.7,7.9,4.7
23,Tatsuki Koja*,23,TOH,Fgn,,7,7,0.5,3.7,4.04,19,,,1,1,0,107,118,48,44,8,27,0,76,3,0,1,459,1.355,9.9,0.7,2.3,6.4,2.81
24,Daiki Tajima*,28,ORX,Fgn,,7,7,0.5,3.13,3.64,18,,,2,2,0,106.1,106,43,37,8,24,0,77,0,0,2,440,1.223,9,0.7,2,6.5,3.21
25,Shuta Ishikawa,33,LOT,Fgn,,4,7,0.364,4.62,4.79,19,,,0,0,0,103.1,110,55,53,11,37,0,56,5,0,4,454,1.423,9.6,1,3.2,4.9,1.51
26,Shoma Kanemura,24,NPN,Fgn,,5,7,0.417,2.93,3.02,28,,,4,3,0,95.1,94,32,31,8,13,0,62,2,0,1,386,1.122,8.9,0.8,1.2,5.9,4.77
27,Kaito Yoza,29,SEI,Fgn,,6,5,0.545,2.5,2.88,16,,,1,0,0,93.2,74,30,26,10,16,0,44,9,0,0,377,0.961,7.1,1,1.5,4.2,2.75
28,Haru Matsumoto*,24,FKA,Fgn,,6,6,0.5,2.76,3.25,29,,,0,0,0,91.1,94,33,28,6,23,3,92,5,0,2,388,1.281,9.3,0.6,2.3,9.1,4
29,Bryan Sammons*,30,LOT,Fgn,,5,5,0.5,3.78,4.31,16,,,0,0,0,85.2,75,41,36,12,40,0,73,6,0,3,373,1.342,7.9,1.3,4.2,7.7,1.83
30,Ryota Takinaka,30,TOH,Fgn,,4,9,0.308,3.44,4.41,15,,,1,1,0,83.2,83,41,32,9,21,0,50,6,0,0,364,1.243,8.9,1,2.3,5.4,2.38
31,Seiryu Uchi,23,TOH,Fgn,,3,5,0.375,2.92,3.24,25,,,0,0,1,83.1,83,30,27,7,23,1,42,3,0,1,355,1.272,9,0.8,2.5,4.5,1.83
32,Haruya Tanaka,21,LOT,Fgn,,3,5,0.375,2.48,2.83,13,,,0,0,0,76.1,63,24,21,4,27,1,77,1,0,6,316,1.179,7.4,0.5,3.2,9.1,2.85
33,Kosei Shoji,24,TOH,Fgn,,4,4,0.5,3.07,3.07,13,,,0,0,0,76.1,65,26,26,4,25,0,70,5,0,4,315,1.179,7.7,0.5,2.9,8.3,2.8
34,Takahisa Hayakawa*,26,TOH,Fgn,,2,8,0.2,4.35,4.61,12,,,0,0,0,68.1,67,35,33,10,20,0,62,1,1,3,290,1.273,8.8,1.3,2.6,8.2,3.1
35,Yuto Kimura,20,LOT,Fgn,,3,2,0.6,3.31,4.5,22,,,2,1,1,68,57,34,25,7,18,0,50,2,0,0,281,1.103,7.5,0.9,2.4,6.6,2.78
36,Ryosuke Ohtsu,26,FKA,Fgn,,6,2,0.75,1.92,2.33,12,,,0,0,0,65.2,63,17,14,6,10,1,36,2,0,0,260,1.112,8.6,0.8,1.4,4.9,3.6
37,Kazuki Sugiyama,27,FKA,Fgn,,3,4,0.429,1.82,2.38,65,,,0,0,31,64.1,48,17,13,3,23,0,85,9,0,4,270,1.104,6.7,0.4,3.2,11.9,3.7
38,Miguel Yajure,27,TOH,Fgn,,2,6,0.25,4.48,5.32,14,,,0,0,0,64.1,80,38,32,1,23,0,30,4,0,2,293,1.601,11.2,0.1,3.2,4.2,1.3
39,Natsuki Takeuchi*,23,SEI,Fgn,,4,5,0.444,5.26,5.68,12,,,0,0,0,63.1,70,40,37,6,19,1,46,3,0,1,276,1.405,9.9,0.9,2.7,6.5,2.42
40,Taito Takashima,25,ORX,Fgn,,2,1,0.667,3.67,3.67,22,,,0,0,0,61.1,67,25,25,1,18,3,31,4,0,2,265,1.386,9.8,0.1,2.6,4.5,1.72
41,Masaya Nishigaki,26,TOH,Fgn,,7,1,0.875,1.96,2.11,63,,,0,0,0,59.2,39,14,13,4,22,2,64,5,0,2,240,1.022,5.9,0.6,3.3,9.7,2.91
42,Shoma Fujihira,26,TOH,Fgn,,2,2,0.5,2.11,2.41,62,,,0,0,12,59.2,45,16,14,6,20,2,66,0,0,1,238,1.089,6.8,0.9,3,10,3.3
43,Rikuto Yokoyama,23,LOT,Fgn,,2,4,0.333,2.08,2.24,50,,,0,0,12,56.1,37,14,13,3,16,2,47,5,0,3,227,0.941,5.9,0.5,2.6,7.5,2.94
44,Takahiro Norimoto,34,TOH,Fgn,,3,4,0.429,3.05,3.05,56,,,0,0,16,56,60,19,19,4,20,0,43,2,0,0,248,1.429,9.6,0.6,3.2,6.9,2.15
45,Andrés Machado,32,ORX,Fgn,,3,6,0.333,2.28,2.6,58,,,0,0,28,55.1,50,16,14,0,16,2,68,3,0,0,233,1.193,8.1,0,2.6,11.1,4.25
46,Shinya Sugai*,22,SEI,Fgn,,5,5,0.5,3.58,3.58,11,,,0,0,0,55.1,51,22,22,5,29,0,47,0,0,0,239,1.446,8.3,0.8,4.7,7.6,1.62
47,Shuta Takano*,26,LOT,Fgn,,5,3,0.625,1.84,1.84,37,,,0,0,0,53.2,43,11,11,3,14,2,61,2,0,4,219,1.062,7.2,0.5,2.3,10.2,4.36
48,Kaima Taira,25,SEI,Fgn,,4,2,0.667,1.71,2.05,54,,,0,0,31,52.2,43,12,10,0,21,1,53,3,0,2,220,1.215,7.3,0,3.6,9.1,2.52
49,Yuki Matsumoto,29,FKA,Fgn,,5,2,0.714,1.07,1.07,51,,,0,0,0,50.2,28,6,6,3,13,2,56,2,0,1,188,0.809,5,0.5,2.3,9.9,4.31
50,Naoto Nishiguchi,28,TOH,Fgn,,3,1,0.75,1.07,1.07,52,,,0,0,1,50.2,29,6,6,3,13,1,70,0,0,2,192,0.829,5.2,0.5,2.3,12.4,5.38
51,Kouya Fujii,28,FKA,Fgn,,2,3,0.4,1.44,1.62,51,,,0,0,2,50,32,9,8,2,14,0,75,2,0,2,195,0.92,5.8,0.4,2.5,13.5,5.36
52,Yuji Nishino,34,LOT,Fgn,,0,4,0,3.08,3.08,9,,,0,0,0,49.2,49,17,17,3,11,0,29,2,0,0,207,1.208,8.9,0.5,2,5.3,2.64
53,Jun Maeda*,25,FKA,Fgn,,2,2,0.5,3.12,3.31,10,,,0,0,0,49,44,18,17,3,17,0,31,6,0,0,213,1.245,8.1,0.6,3.1,5.7,1.82
54,Spencer Howard,28,TOH,Fgn,,5,1,0.833,2.22,2.4,9,,,0,0,0,48.2,42,13,12,1,11,0,36,2,1,0,196,1.089,7.8,0.2,2,6.7,3.27
55,Luis Perdomo,32,ORX,Fgn,,2,4,0.333,3.17,3.35,50,,,0,0,0,48.1,50,18,17,1,16,4,27,1,0,0,204,1.366,9.3,0.2,3,5,1.69
56,Seigi Tanaka,30,NPN,Fgn,,1,1,0.5,1.32,1.32,49,,,0,0,13,47.2,37,7,7,2,13,5,48,2,0,2,196,1.049,7,0.4,2.5,9.1,3.69
57,Haruto Yamada,21,SEI,Fgn,,3,3,0.5,2.08,2.27,49,,,0,0,1,47.2,46,12,11,3,17,0,31,1,0,1,201,1.322,8.7,0.6,3.2,5.9,1.82
58,Yukiya Saito,30,NPN,Fgn,,1,2,0.333,1.35,1.35,47,,,0,0,3,46.2,31,7,7,1,14,0,37,2,0,1,180,0.964,6,0.2,2.7,7.1,2.64
59,Trey Wingenter,31,SEI,Fgn,,1,4,0.2,1.74,2.12,49,,,0,0,0,46.2,26,11,9,2,20,0,69,2,0,4,188,0.986,5,0.4,3.9,13.3,3.45
60,Ren Fukushima,22,NPN,Fgn,,5,0,1,2.25,2.25,8,,,0,0,0,44,37,11,11,4,15,0,37,1,0,0,178,1.182,7.6,0.8,3.1,7.6,2.47
61,Hiroshi Kaino,28,SEI,Fgn,,2,3,0.4,2.47,2.68,47,,,0,0,0,43.2,34,13,12,3,18,1,36,3,0,2,180,1.191,7,0.6,3.7,7.4,2
62,Ren Kajiya,33,TOH,Fgn,,2,1,0.667,3.5,3.71,54,,,0,0,1,43.2,41,18,17,4,19,1,34,1,0,3,186,1.374,8.5,0.8,3.9,7,1.79
63,Ryuta Konno,30,TOH,Fgn,,1,2,0.333,3.61,3.61,42,,,0,0,0,42.1,33,17,17,4,18,1,22,3,0,2,181,1.205,7,0.9,3.8,4.7,1.22
64,Sora Suzuki*,28,TOH,Fgn,,2,4,0.333,2.36,2.57,46,,,0,0,5,42,33,12,11,2,15,0,52,0,0,1,172,1.143,7.1,0.4,3.2,11.1,3.47
65,Fumiya Ono,28,LOT,Fgn,,2,2,0.5,2.59,3.24,47,,,0,0,0,41.2,40,15,12,1,13,0,41,2,0,1,180,1.272,8.6,0.2,2.8,8.9,3.15
66,Darwinzon Hernández*,28,FKA,Fgn,,1,2,0.333,3.35,3.35,42,,,0,0,0,40.1,34,15,15,1,12,0,43,3,0,1,164,1.14,7.6,0.2,2.7,9.6,3.58
67,Taisuke Yamaoka,29,ORX,Fgn,,5,3,0.625,4.25,4.25,41,,,0,0,0,36,42,17,17,1,8,1,32,2,0,0,158,1.389,10.5,0.3,2,8,4
